code_family,outfield
CVC,Collection > Video Capture — An adversary can leverage a computer's peripheral devices (e.
DVMD,Discovery > Virtual Machine Discovery — An adversary may attempt to enumerate running virtual machines (VMs) after gaining access to a host or hypervisor.
DEVSE,Defense Evasion > Virtualization/Sandbox Evasion — Adversaries may employ various means to detect and avoid virtualization and analysis environments.
DVSE,Discovery > Virtualization/Sandbox Evasion — Adversaries may employ various means to detect and avoid virtualization and analysis environments.
DEWE,Defense Evasion > Weaken Encryption — Adversaries may compromise a network device’s encryption capability in order to bypass encryption that would otherwise protect data communications.
CACWS,"Command and Control > Web Service — Adversaries may use an existing, legitimate external Web service as a means for relaying data to/from a compromised system."
IAWFN,Initial Access > Wi-Fi Networks — Adversaries may gain initial access to target systems by connecting to wireless networks.
EWMI,Execution > Windows Management Instrumentation — Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads.
DEXSP,Defense Evasion > XSL Script Processing — Adversaries may bypass application control and obscure execution of code by embedding scripts inside XSL files.
DETAECMBUAC,Defense Evasion > T1548 > Abuse Elevation Control Mechanism: Bypass User Account Control — Adversaries may bypass UAC mechanisms to elevate process privileges on system.
PETAECMBUAC,Privilege Escalation > T1548 > Abuse Elevation Control Mechanism: Bypass User Account Control — Adversaries may bypass UAC mechanisms to elevate process privileges on system.
DETAECMEEWP,Defense Evasion > T1548 > Abuse Elevation Control Mechanism: Elevated Execution with Prompt — Adversaries may leverage the <code>AuthorizationExecuteWithPrivileges</code> API to escalate privileges by prompting the user for credentials.
PETAECMEEWP,Privilege Escalation > T1548 > Abuse Elevation Control Mechanism: Elevated Execution with Prompt — Adversaries may leverage the <code>AuthorizationExecuteWithPrivileges</code> API to escalate privileges by prompting the user for credentials.
DETAECMSAS,Defense Evasion > T1548 > Abuse Elevation Control Mechanism: Setuid and Setgid — An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context.
PETAECMSAS,Privilege Escalation > T1548 > Abuse Elevation Control Mechanism: Setuid and Setgid — An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context.
